x,y,,,,,left_frame_x,left_frame_y,right_frame_x,right_frame_y
1584.87,1171.98,271.128,444.734,163.977,107.271,2300.73,900.729,2127.13,900.729
1584.55,1170.12,271.453,445.267,162.123,106.058,2301.27,901.942,2127.45,901.942
1584.57,1168.6,271.428,445.226,160.604,105.064,2301.23,902.936,2127.43,902.936
1584.57,1166.84,271.431,445.23,158.84,103.91,2301.23,904.09,2127.43,904.09
1584.61,1165.25,271.394,445.169,157.249,102.869,2301.17,905.131,2127.39,905.131
1584.76,1162.75,271.239,444.916,154.748,101.234,2300.92,906.766,2127.24,906.766
1690.38,1216.04,165.618,271.665,208.039,136.095,2127.67,871.905,2021.62,871.905
1690.72,1213.72,165.281,271.111,205.715,134.575,2127.11,873.425,2021.28,873.425
1691.45,1211.15,164.551,269.914,203.148,132.895,2125.91,875.105,2020.55,875.105
1691.11,1208.64,164.889,270.468,200.64,131.255,2126.47,876.745,2020.89,876.745
1691.89,1205.8,164.11,269.191,197.798,129.396,2125.19,878.604,2020.11,878.604
1691.96,1202.26,164.038,269.072,194.264,127.084,2125.07,880.916,2020.04,880.916
1692.14,1198.21,163.862,268.784,190.209,124.431,2124.78,883.569,2019.86,883.569
1813.81,1409.38,42.185,69.1965,401.378,262.574,1925.2,745.426,1898.19,745.426
1813.74,1405.3,42.2583,69.3166,397.297,259.905,1925.32,748.095,1898.26,748.095
1814.17,1400.85,41.8299,68.6138,392.848,256.994,1924.61,751.006,1897.83,751.006
1814.03,1395.99,41.968,68.8404,387.987,253.814,1924.84,754.186,1897.97,754.186
1813.65,1391.57,42.3523,69.4708,383.573,250.926,1925.47,757.074,1898.35,757.074
1813.62,1387.46,42.3806,69.5173,379.461,248.236,1925.52,759.764,1898.38,759.764
1813.39,1382.85,42.6086,69.8912,374.853,245.222,1925.89,762.778,1898.61,762.778
1818.59,1394.64,37.4148,61.3718,386.64,252.933,1917.37,755.067,1893.41,755.067
1818.42,1390.83,37.5773,61.6384,382.833,250.442,1917.64,757.558,1893.58,757.558
1817.95,1386.93,38.0459,62.407,378.932,247.89,1918.41,760.11,1894.05,760.11
1817.54,1383.21,38.4636,63.0921,375.214,245.458,1919.09,762.542,1894.46,762.542
1817.39,1379.7,38.6058,63.3254,371.699,243.159,1919.33,764.841,1894.61,764.841
